"Nom du vin";"Millésime";"Couleur";"Stock";"Stock (en cave)";"Producteur";"Pays";"Région";"Appellation";"Cépages";"Format de bouteille";"Classement";"Cuvée";"Degré d'alcool";"Référence";"Tags";"Apogée";"T° de service";"Estimation";"Note";"Commentaires";"IdVin";"IdContact";"IdDocument";"IdDocumentCouverture"
"Bestheim Alsace Crémant d'Alsace Extra Brut";;"Effervescent";0;0;"Vignobles Bestheim";"France";"Alsace";"Crémant d'Alsace";"Auxerrois, Pinot Blanc";"Bouteille";"";"";12;"";"";;8;;;"";"9f8d33cc-2744-4f68-8850-4caed5a4cac0";"d8d50dba-9606-4974-86bc-42773d99433a";"e1c1454b-1315-429f-a67d-e45a121fd489";""
"Blason de Bourgogne Bourgogne Hautes Côtes de Nuits";2021;"Rouge";0;0;"Blason de Bourgogne ";"France";"Bourgogne";"Bourgogne";"Pinot Noir";"Bouteille";"";"";13;"";"";;14;8;;"";"d4a22a5e-d46b-460c-b48b-688d61bbe4f5";"5f9a7c02-c68c-48d4-a2e4-54d84fc9d149";"92ac2b5a-85d4-4959-a8d1-4983b5524c27";""
"Blaye Chateau Jussas";2020;"Rouge";0;0;"";"France";"Bordeaux";"";"";"Bouteille";"";"";;"";"";;;5;;"";"907b57c1-5726-477f-9c8d-5239181a843a";"";"6321b2ed-eb00-4d66-bc64-64f3adfa6693";""
"Bonserine Les Hauts de Cheys Côtes-du-Rhône";2016;"Blanc";0;0;"Bonserine";"France";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"f5849f91";"751a4e69";"8a9a8a05";""
"Bordeaux Terres Legendaires";2024;"Rouge";0;0;"";"France";"Bordeaux";"";"";"Bouteille";"";"";;"";"";;;2;;"";"9fe8549f-1715-4929-95fa-a2eb08b8b580";"";"09fa0248-dab5-4e2b-b0f9-e96b4c0d6cab";"d8f63dae-f4c6-4782-ab86-754cd88e9e25"
"Borie Manoux Blanche Couronne Sauternes";1995;"Liquoreux";1;1;"Borie Manoux";"France";"Bordeaux";"Sauternes";"";"Bouteille";"";"";;"";"";;;;;"";"b814d875";"5567fec4";"80fdef07";""
"Boulaouane Rouge de Maroc";;"Rouge";1;1;"Boulaouane";"Maroc";"El-Jadida";"";"";"Bouteille";"";"";;"";"";;;;;"";"fcba73d1";"45311bb9";"ad77de26";""
"Bourgueil L'attire Bouchon";2019;"Rouge";0;0;"";"France";"Vallée de la Loire";"Bourgueil";"";"Bouteille";"";"";13;"3149070037077";"";;;4;;"";"e2cd8436-363b-42d3-b27f-e75601eff713";"";"68de99e8-3dbe-47af-a311-2978da89b438";""
"Broussey";2018;"Blanc";0;0;"";"France";"Bordeaux";"Bordeaux";"";"Bouteille";"";"";13;"";"";;;;;"";"00bbe2b7-9e0f-4701-a891-bee754fae6c5";"";"9a38aeab-d994-41a3-9fdc-467ad47f9635";"bb76478f-3509-4820-b130-00b781bc68fd"
"Cabernet Sauvignon";;"Rosé";0;0;"";"France";"";"";"";"";"";"";;"";"";;;;;"";"fa947296-9009-4699-abc5-f59e62435618";"";"c63a8856-bdb6-4096-8b88-210bf7bfd7d9";""
"Cabernet Sauvignon ";;"Rosé";0;0;"";"Espagne";"";"";"Cabernet Sauvignon";"Bouteille";"";"";;"";"";;;;;"";"b92b60f3-7999-4eda-969c-feea271dc8cc";"";"2c9324dd-3a3a-42e1-b8da-5038637869bb";"59d3e636-d1ad-4c28-90e9-cbf842bb5a5e"
"Cabernet Sauvignon Espagne";;"Rosé";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"8951898e-bc8c-4923-b120-f124f6537a2f";"";"";"24f11aa0-fb35-47e9-977f-9033f8c36647"
"Cabernet Sauvignon Espagne";;"Rosé";0;0;"";"Espagne";"";"";"";"Bouteille";"";"";11,5;"";"";;;;;"";"27253578-0751-462e-8354-ec3695c0e63b";"";"1d5a98e6-4d5e-4169-8529-87d561a0f043";""
"Cahors Les Tonnelles de Fontaurais";2020;"Rouge";1;0;"";"France";"Sud-Ouest";"Cahors";"";"Bouteille";"";"";;"";"grand frais,";;;15;;"";"3cf9db53-8559-4528-9192-dc65a0bfff23";"";"c9857e40-d947-454a-a415-e955a763ff33";"078c4ce3-aff1-4964-b4d4-5c85cae4b0a4"
"Cahors Pierre Espirac";2019;"Rouge";0;0;"";"France";"Sud-Ouest";"Cahors";"";"Bouteille";"";"";13;"";"grand frais,2022,";;;4;;"";"e5f44803-b83c-4cbd-8e90-b72dd0648aa7";"";"b59cbb2b-59e5-4613-9556-a7ea2405b4d8";""
"Capelaniers";2022;"Rosé";0;0;"";"France";"Provence";"Bandol";"";"Bouteille";"";"2022";;"";"";;;;;"";"ae5da4b4-8340-4d40-a7c9-f2228378eb2d";"";"6eba9ae7-bafd-4a98-b06e-a25076034ae4";"1a77dfbb-d664-4ab3-88c9-4e53477a24a1"
"Cato Negro";;"Rouge";0;0;"";"Chili";"";"";"";"";"";"";;"";"";;;;;"Leclerc celine 6 juin 2020";"9263d2ca-082f-485f-ac3b-1991f24851dd";"";"84b31100-98f8-4301-8b8b-075c9c012f85";"6a90774e-5332-45bc-ad9a-eb654fe77a25"
"Cave de Cleebourg Alsace Sylvaner Sigillé Confrérie Saint-Etienne";2022;"Blanc";0;0;"Cave de Cleebourg";"France";"Alsace";"Alsace";"Sylvaner";"Bouteille";"";"";12,5;"";"";;8;12;;"";"81ba1f21-2613-4782-b747-922b10c3e5f9";"001411af-c475-48e7-99c2-fd7d788bced5";"5b3359a2-737f-493d-a1ec-60071dfa885b";""
"Cave Saint-Désirat Viognier";2020;"Blanc";0;0;"Cave Saint-Désirat";"France";"Vallée du Rhône";"Collines Rhodaniennes";"Viognier";"Bouteille";"";"";14,5;"";"";;10;;;"";"247a64d9-ebcd-4770-926c-6b4458518f40";"ded9a494-5a37-4cf3-86cf-be99ce15f661";"781eff07-4be3-4633-8a57-28959fee1141";""
"Cave Vinicole de Cleebourg Alsace Muscat";2019;"Liquoreux";0;0;"Cave de Cleebourg";"France";"Alsace";"Alsace";"Muscat blanc à petits grains, Muscat Ottonel";"Bouteille";"";"";12,5;"";"";;8;;;"";"23da89d3-8bde-4d38-9d2e-64ea86480b37";"001411af-c475-48e7-99c2-fd7d788bced5";"ea9767cc-68c3-4170-849c-4085839f8b9c";""
"Cave Vinicole de Cleebourg Alsace Pinot Gris";2018;"Blanc";0;0;"Cave de Cleebourg";"France";"Alsace";"Alsace";"Pinot Gris";"Bouteille";"";"";13,5;"";"";;10;;;"";"650c4a78-e7a2-43ee-adda-8846b32253e7";"001411af-c475-48e7-99c2-fd7d788bced5";"40822499-8d09-473d-8607-725166fd2223";""
"Cave Vinicole de Cleebourg Alsace Pinot Gris Karchweg";2018;"Blanc";0;0;"Cave de Cleebourg";"France";"Alsace";"Alsace";"Pinot Gris";"Bouteille";"";"";13,5;"";"";;8;;;"";"ebb10e20-fddc-4e92-a9b5-8d91ab24c4c3";"001411af-c475-48e7-99c2-fd7d788bced5";"bfb9c441-c6a6-4c09-82b8-93f933c163bb";""
"Cave Vinicole de Cleebourg Alsace Pinot Noir Passion";2018;"Rouge";0;0;"Cave de Cleebourg";"France";"Alsace";"Alsace";"Pinot Noir";"Bouteille";"";"";14,5;"";"";;14;;;"";"a79b2b94-4c5e-4f78-802e-c91690bae052";"001411af-c475-48e7-99c2-fd7d788bced5";"0659f050-0e41-4306-a1b1-8d3813f587a4";""
"Cave Vinicole de Cleebourg Cave Historique Hospices de Strasbourg Alsace Pinot Gris";2020;"Blanc";0;0;"Cave de Cleebourg";"France";"Alsace";"Alsace";"Pinot Gris";"Bouteille";"";"";14;"";"";;10;;;"";"b3dbc13b-498d-4f5a-b7fb-63593fed2dea";"001411af-c475-48e7-99c2-fd7d788bced5";"1e714f47-d294-4fa9-9e78-5686c6b7a060";"fccda7bf-4ea9-4c73-bedd-00573de31e16"
"Cave Vinicole de Hunawihr Alsace Pinot Gris 7 Talents";2023;"Blanc";0;0;"Cave Vinicole de Hunawihr";"France";"Alsace";"Alsace";"Pinot Gris";"Bouteille";"";"";13,5;"";"";;10;8;;"";"5c2ab246-14c0-4c29-86cf-41e74973af38";"21baff02-bdf6-45dc-9687-9dac67c3ca0d";"0da7e29c-4096-407e-96b0-ebb2af677738";""
"Caze Blanque";2021;"Blanc";0;0;"";"France";"Languedoc-Roussillon";"Pays d'Oc";"Viognier";"Bouteille";"";"";;"";"";;;;;"";"895a8383-f05f-4c51-9525-2070dbe66fd1";"";"c2a4d51b-fdb4-4462-b679-4c25bc444509";"9a601fb8-0af4-41bc-9706-65501fcd20ca"
"Cent Pour Cent Chardonnay";2021;"Blanc";0;0;"Domaine du Peyra";"France";"Languedoc-Roussillon";"Pays d'Oc";"Chardonnay";"Bouteille";"";"";13;"";"";;10;7;;"";"a9120879-3ced-448d-81f4-6baa580d0c77";"581b8268-0c0c-4f7c-87e3-c257430b9e3e";"4f721e7a-b4ca-4510-95b0-553574fc0104";""
"Champagne Charles Ellner Rosé Brut";;"Effervescent";0;0;"Champagne Charles Ellner";"France";"Champagne";"Champagne";"50% Chardonnay, 50% Pinot Noir";"Bouteille";"";"";;"";"";;;;;"offer par francis et annick";"9aa9ac8c-e3bd-4d86-9178-263b2520abe2";"4d0faee2-9b02-42a6-ab14-ac3ab2452bc9";"35a04ebb-c1cb-4409-aa0f-83185c72efff";""
"Champagne Charles Lafitte Brut Orgueil de France";;"Effervescent";0;0;"Champagne Charles Lafitte";"France";"Champagne";"Champagne";"";"Bouteille";"";"Orgueil de France";;"";"";;9;;;"";"3d094b72-1657-44fb-ab3f-b4712e961407";"2858711f-55fc-44ab-a9c0-1b3cb7209d0d";"ed1459a4-8cd6-4afd-ab69-18be66dc1770";""
"Champagne Couillet Petit";;"Effervescent";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"68e9e7d0-3325-4ca6-beb6-a9f9ea1999bf";"";"5d227592-2df6-4f7c-93e1-ebbda35032d5";"562daa9d-5159-4cdb-9085-f8ab6ff262fa"
"Champagne Feuillate";;"Effervescent";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"4c834719-1aec-465a-942a-ccef96baa0d1";"";"336eb2ae-3402-4554-9a2f-03bc025a43ad";"5ecae0dc-4ee0-4a5c-84de-e79e2f7cd3c0"
"Champagne G.H. Mumm Brut Cordon Rouge";;"Effervescent";0;0;"G.H. Mumm et Cie";"France";"Champagne";"Champagne";"45% Pinot Noir, 30% Chardonnay, 25% Pinot Meunier";"Bouteille";"";"";12;"";"";;9;20;;"";"1c58bed4-e36b-4126-b587-8faeb4477f01";"e68b2c3f-c8cb-4b86-9c96-d5b13f1258b7";"42cce5d3-f14f-45e2-9209-ed9aca0b29aa";""
"Champagne Jacquart Brut Mosaïque";;"Effervescent";0;0;"Jacquart";"France";"Champagne";"Champagne";"40% Chardonnay, 35% Pinot Noir, 25% Pinot Meunier";"Bouteille";"";"";12,5;"";"";;10;;;"";"4152d11b-a941-4934-af6d-de34d49b5c3e";"f1d29dbd-5931-479f-abd4-2f49efc918dd";"c83581fd-dd9f-4055-8d72-53385bad4dd5";""
"Champagne Nicolas Feuillatte Brut Grande Réserve";;"Effervescent";0;0;"Champagne Nicolas Feuillatte";"France";"Champagne";"Champagne";"40% Pinot Meunier, 40% Pinot Noir, 20% Chardonnay";"Bouteille";"";"";12;"";"";;7;;;"";"47bcbdbe-1fbe-49f9-a2c8-1de663bf63c6";"1ea554af-9ff5-4072-87d0-25a76d5402e3";"2fed6984-d979-401a-85a7-3543102fbc82";""
