"Date";"Nom du vin";"Millésime";"Lieu";"Note";"EmotiPLOC";"Couleur";"Personnes présentes";"Plats";"Commentaires";"IdVin"
"23/04/2020";"Le Rosé de Mouton Cadet";2014;"";;"";"";"";"";"";""
"23/04/2020";"Le Rosé de Mouton Cadet";2011;"";;"";"";"";"";"";""
"29/04/2020";"Bas Armagnac Guilhon D'aze Hors D'age";;"";;"WAOUH";"";"";"";"";""
"10/06/2020";"Domaine de Muzy Terre Amoureuse";2019;"";;"";"";"";"";"";""
"10/06/2020";"Domaine Thomas-Labaille Sancerre L'Authentique";2017;"";;"";"";"";"";"";""
"20/06/2020";"Domaine Thomas-Labaille Sancerre L'Authentique";2017;"";;"COOL";"";"";"";"";"3f8374c5-4f06-4165-ad7c-e813921501ee"
"18/08/2020";"Rouffiac";2019;"Grezelou";85;"WAOUH";"";"";"";"";"6b792a83-9478-4416-a22a-377439d9c502"
"12/03/2021";"Viognier Le Temps Du Grapillage";2018;"";90;"WAOUH";"";"";"";"";"3d202cf6-434b-4a76-87a6-87e395d6fe88"
"17/11/2021";"Cave Saint-Désirat Viognier";2020;"";;"Mouais";"";"Celine Ludo";"";"";"247a64d9-ebcd-4770-926c-6b4458518f40"
"12/12/2021";"Cheval Quancard Cuvée Hortense Prestige";2019;"";;"Mouais";"";"";"";"";"d2640e15-f2e9-4890-acd7-311f1935fb4e"
"18/12/2021";"Pinot Gris Ollwiller Joseph Scheer";2015;"";;"COOL";"";"";"";"";"f95a036f-0955-4728-bb5e-6952cfe7e48e"
"30/04/2022";"Cru La Maqueline";2019;"maizières-lès-Metz";65;"WAOUH";"#751A17";"Céline,Ludo,";"";"";"1bddfb6a-77db-48a3-aaf9-bef09ecd23c6"
"12/11/2022";"Oeuf Bleu";2021;"";;"";"";"";"";"";"8ed1aab6-90c1-473a-8c08-07f0aa1f9322"
"24/12/2022";"Broussey";2018;"";;"Mouais";"";"Celine Ludo,";"";"trop sucré";"00bbe2b7-9e0f-4701-a891-bee754fae6c5"
"01/04/2023";"Château Chanteloiseau";;"";;"";"";"";"";"";"cf7aaa00-fb17-4953-9b6d-acefe4d60607"
"19/04/2023";"Ravasqueira";2021;"";;"";"#F9F2B0";"";"";"";""
"19/05/2023";"Château Reillanne Grande Réserve";2021;"";;"";"";"";"";"";"5531f162-57b7-471d-826c-50ee844004d1"
"02/07/2023";"Les Thérons Faïsse Du Loup";2022;"maizières-lès-Metz";80;"WAOUH";"";"";"";"";"d54687d3-6dc7-4582-bb16-d091197cb505"
